longitude,latitude
-80.111,26.087
-87.75247,41.855243
-110.822778,32.295833
-76.296946,39.410191
-87.635556,41.87898
-88.072827,41.813049
-73.74136,41.78555
-106.705278,34.853889
-88.6075,48.108333
-81.24248,41.72229
-121.516111,38.591111
-86.825092,33.317316
-155.261111,19.433611
-90.82,29.994444
-93.323056,30.326111
-80.35922,40.684463
-75.011549,40.0764
-86.907743,41.717022
-94.071091,30.03644
-87.601646,41.790787
-83.264444,40.4925
-76.121575,36.326907
-118.139167,34.712222
-120.210833,34.478056
-81.25423,36.89117
-75.363333,40.620278
-104.837222,38.898056
-121.208056,38.791944
-89.062222,42.508611
-96.677222,40.984722
-77.40027,37.55652
-79.960757,40.46542
-96.860082,32.819952
-81.670278,30.238056
-106.396111,31.718611
-121.979675,37.226862
-89.1089,43.3156
-87.916667,44.527222
-85.690278,38.376944
-91.789141,39.475136
-75.623056,41.442778
-90.379548,38.727548
-111.91721,33.47968
-90.1412,32.385731
-76.003333,41.209167
-76.846988,40.246992
-103.2995,47.5812
-119.841111,37.888611
-68.635,45.005833
-82.4259,38.424133
-82.570556,27.306944
-120.205556,34.477778
-121.896866,38.029258
-69.26059,43.917955
-77.042252,39.444294
-112.18358,36.05864
-90.888056,32.321944
-91.1,30.2
-97.282088,32.922498
-120.498889,34.511667
-72.555112,42.19438
-121.147222,37.906944
-117.319444,34.509722
-104.823611,38.824167
-80.572808,41.959695
-81.960278,26.631389
-87.67,41.979444
-119.966944,38.945833
-87.673056,44.080278
-84.831111,33.915556
-117.27422,47.82728
-86.655,40.474167
-104.809722,31.833333
-118.024722,33.923611
-105.099973,39.800333
-112.19196,33.57454
-84.5475,39.107778
-89.409444,31.319167
-119.143176,34.252378
-80.169943,40.375644
-80.962304,34.093959
-90.226488,38.872546
-84.521111,39.114167
-97.356568,32.805818
-82.700833,28.09
-117.14731,34.05977
-117.571389,33.920556
-72.916944,41.310833
-75.097617,39.923042
-97.760254,30.354419
-120.220833,34.471389
-81.381389,28.454167
-88.548934,39.067159
-81.206667,34.976667
-92.016667,30.233056
-120.5,35.041667
-86.248784,39.646254
-84.375556,33.748333
-111.882222,40.886389
-71.031111,42.401667
-75.97316,44.08747
-86.915,33.485556
-88.493611,30.380833
-93.207615,45.13768
-118.22688,34.06659
-90.102778,29.994444
-95.960967,41.306758
-87.841406,42.386706
-95.397744,29.010841
-122.031547,37.654456
-81.378333,40.828052
-111.849722,40.646667
-94.550794,38.856151
-88.273029,42.049148
-80.075,26.466
-77.25925,37.34438
-89.508333,43.484167
-81.465537,33.320344
-106.50815,35.1852
-120.1965,34.52744
-97.494309,35.477036
-87.941389,43.320556
-119.270278,34.446667
-90.495941,38.61366
-83.764806,36.085508
-85.181581,35.233476
-120.966667,39.101667
-95.326125,29.901037
-83.99773,39.85567
-75.025204,39.422273
-122.710169,38.443503
-97.403333,32.387222
-122.456667,38.295833
-120.457778,34.451944
-73.75733,42.68075
-119.403889,35.054444
-80.580717,40.421539
-93.859722,32.676389
-78.574167,35.856111
-111.885556,40.755278
-77.04435,38.810403
-91.366172,30.681736
-93.571944,41.607778
-82.022217,33.433349
-93.172778,48.587778
-120.640986,34.577057
-122.806944,42.267778
-119.79146,34.54166
-118.852037,35.346094
-117.365925,33.20265
-86.773889,33.578333
-90.514167,41.511944
-66.173611,18.4375
-81.853611,41.371389
-82.517078,36.534804
-89.788459,38.176278
-80.09647,26.292025
-83.096033,42.357808
-118.828611,36.493611
-76.283333,40.046667
-87.898889,42.038889
-88.231944,43.003889
-96.861389,33.071944
-68.260833,44.373611
-88.706944,32.371667
-79.58961,42.29071
-111.927778,33.604444
-80.858333,32.231944
-89.578056,35.374722
-77.106876,39.114313
-118.45636,34.05111
-90.105851,38.860669
